ax, ay, az, gx, gy, gz
-0.8137455366679891,-0.043336283455916016,-0.5445722830896939,0.18311105685598317,-0.5035554063539537,0.5493331705679495
-0.815576647236549,-0.041383098849452196,-0.5449385052034059,0.22888882106997893,-0.5035554063539537,0.5951109347819452
-0.8149662770470291,-0.04199346903897214,-0.5445722830896939,0.27466658528397475,-0.6256294442579424,0.5493331705679495
19,19,20,20,21,21
